id,type,latitude,longitude,name,tourism,leisure,natural,aeroway,water,wikidata,wikipedia,description,FITOFISION,access,addr:city,addr:housenumber,addr:postcode,addr:street,addr:suburb,alt_name,barrier,boat,building,capacity,dog,ele,fee,golf,iata,icao,intermittent,landuse,leaf_type,loc_name,name:en,name:pt,noexit,note,old_loc_name,old_name,opening_hours,operator,operator:type,operator:wikidata,operator:wikipedia,owner,owner:wikidata,owner:wikipedia,ownership,place,sewer,source,sport,start_date,surface,wheelchair,wikimedia_commons
,Point,-22.9647503,-46.5273839,,,,tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Point,-22.9646564,-46.5275878,,,,tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Point,-22.9643626,-46.5283629,,,,tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Point,-22.9238734,-46.4783628,Morro do Guaripocaba,,,peak,,,,,,,,,,,,,,,,,,,1270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Point,-22.925685,-46.5336946,Pico de Bragança Paulista,,,peak,,,,,,,,,,,,,,,,,,,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Point,-22.9264749,-46.5342581,,,,cliff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Point,-22.9982658,-46.5144159,Mirante Por do sol,,,peak,,,,,,,,,,,,,,,,,,,961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Point,-22.9842161,-46.5353408,,,,,,,,,,,private,,,,,,,gate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Point,-22.9752965,-46.5412222,,,,,,,,,,,private,,,,,,,gate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Point,-22.9767574,-46.5375711,,,,,,,,,,,private,,,,,,,gate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Point,-22.9828,-46.5369675,,,,,,,,,,,private,,,,,,,gate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Point,-22.9832873,-46.5368577,,,,,,,,,,,private,,,,,,,gate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Point,-22.9589783,-46.5414859,Museu o telefone,museum,,,,,,,,,,,126,,Praça José Bonifácio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Point,-22.9644674,-46.5375747,Portão 00 - Setor Amarelo,,,,,,,,,,,,,,,,,gate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Point,-22.9652071,-46.5377306,Portão 1A,,,,,,,,,,,,,,,,,gate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Point,-22.9545516,-46.5412335,Museu Municipal Oswaldo Russomano,museum,,,,,,,,,,Bragança Paulista,520,,Rua Coronel João Leme,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Point,-22.9767583,-46.5363965,,,,tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Point,-22.976597,-46.5364911,,,,tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Point,-22.9762638,-46.5362307,,,,tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Point,-22.9763068,-46.536191,,,,tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Point,-22.976439,-46.5360941,,,,tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Point,-22.9764863,-46.5360743,,,,tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Point,-22.9762778,-46.5360194,,,,tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Point,-22.9762305,-46.5359225,,,,tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Point,-22.9761596,-46.5360813,,,,tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Point,-22.9760596,-46.5359085,,,,tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Point,-22.9760316,-46.5358641,,,,tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Point,-22.9759714,-46.5357626,,,,tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Point,-22.9759543,-46.5357357,,,,tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Point,-22.9761821,-46.5358314,,,,tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Point,-22.9761209,-46.5357345,,,,tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Point,-22.9760865,-46.5356505,,,,tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Point,-22.9760488,-46.5360649,,,,tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Point,-22.9767593,-46.536093,,,,tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Point,-22.9764842,-46.5363241,,,,tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Point,-22.9765304,-46.5362681,,,,tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Point,-22.9768593,-46.5360089,,,,tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Point,-22.9773064,-46.5358796,,,,tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Point,-22.977199,-46.5359482,,,,tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Point,-22.9771269,-46.5360077,,,,tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Point,-22.9770807,-46.5360416,,,,tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
