id,type,latitude,longitude,name,tourism,leisure,natural,amenity,aeroway,water,wikidata,wikipedia,description,website,IBGE:GEOCODIGO,access,addr:city,addr:country,addr:housename,addr:housenumber,addr:postcode,addr:street,addr:suburb,admin_level,alt_name,apartment,area,atm,barrier,bicycle,boat,boundary,branch,brand,brand:short,brand:wikidata,brand:wikipedia,building,building:flats,building:levels,bus,capacity,check_date,check_date:currency:XBT,club,communication:microwave,compressed_air,contact:email,contact:facebook,contact:instagram,contact:phone,covered,cuisine,currency:BRL,currency:XBT,denomination,depth,dispensing,distance,dog,door,drive_through,ele,email,emergency,entrance,fax,fee,female,foot,ford,fuel:diesel,fuel:diesel_s10,fuel:ethanol,fuel:gasoline,fuel:octane_87,government,grades,healthcare,healthcare:speciality,height,highway,horse,iata,icao,image,industrial,intermittent,internet_access,internet_access:fee,internet_access:ssid,landuse,layer,level,loc_name,location,lot_type,male,man_made,material,maxweight,military,mobile,motor_vehicle,name:en,name:es,name:pt,network,nohousenumber,not:brand:wikidata,not:operator:wikidata,note,office,official_name,old_loc_name,old_name,opening_hours,operator,operator:short,operator:type,operator:wikidata,operator:wikipedia,outdoor_seating,owner,owner:wikidata,owner:wikipedia,ownership,payment:cards,payment:cash,payment:coins,payment:contactless,payment:credit_cards,payment:debit_cards,payment:electronic_purses,payment:lightning,payment:lightning_contactless,payment:mastercard,payment:onchain,payment:visa,phone,phone:mobile,pipeline,place,police,population,population:date,power,product,public_transport,recycling_type,ref,religion,residential,roof:colour,roof:shape,self_service,service_times,shop,smoking,social_facility,social_facility:for,source,source:date,source:population,sport,stars,start_date,substance,substation,surface,takeaway,toilets,toilets:wheelchair,tourist_bus,tower:type,tunnel,type,waterway,website:en,wheelchair,wholesale,width,wikimedia_commons
,Point,-22.9520235,-46.5418586,Bragança Paulista,,,,,,,Q897232,pt:Bragança Paulista,,,,,Bragança Paulista,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,city,,184634,2024-08-29,,,,,,,,,,,,,,,,,,"IBGE, DOU de 29/08/2024",,,,,,,,,,,,,,,,,,,
,LineString,-22.9545187,-46.5477109,Câmara Municipal de Bragança Paulista,,,,,,,,,,,,,Bragança Paulista,Brazil,,,,,,8,,,,,,,,,,,,,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,legislative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,government,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LineString,-22.8925013,-46.4169498,Câmara Municipal de Vargem,,,,,,,,,,,,,,Brazil,,,,,,8,,,,,,,,,,,,,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,legislative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,government,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LineString,-22.9492851,-46.5370818,Cemitério da Saudade,,,,,,,,,,,,,Bragança Paulista,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cemetery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LineString,-22.8960909,-46.4174784,Cemitério Municipal,,,,,,,,,,,,,Bragança Paulista,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cemetery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LineString,-22.9500669,-46.5289591,Estádio Cicero De Souza Marques,,stadium,,,,,,,,,,,Bragança Paulista,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soccer,,,,,,,,,,,,,,,limited,,,
,LineString,-22.8838544,-46.4130042,Estádio Municipal Miguel Elias Tardini,,pitch,,,,,,,,,,,Bragança Paulista,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soccer,,,,,grass,,,,,,,,,,,,,
,LineString,-22.8347088,-46.649352,Estádio Municipal Plácido de Lima,,stadium,,,,,,,,,,,Bragança Paulista,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soccer,,,,,,,,,,,,,,,,,,
,LineString,-22.9656903,-46.5358956,Estádio Nabi Abi Chedid,,stadium,,,,,Q5402133,pt:Estádio Nabi Abi Chedid,,,,,Bragança Paulista,Brazil,,157,12914-410,Rua Emílio Colella,Jardim Nova Bragança,,Arena Red Bull Bragantino,,,,,,,,,,,,,,,,,21209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nabizão,,,,,,,,,,,,,,,,,O Estádio Nabi Abi Chedid será demolido nos próximos anos. Transformar em arena quando necessário.,,,Marcelão,Estádio Marcelo Stéfani,,Red Bull Bragantino,,private,Q541744,pt:Red Bull Bragantino,,Red Bull Bragantino,Q541744,pt:Red Bull Bragantino,private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soccer,,1949,,,,,,,,,,,,,limited,,,Category:Estádio Nabi Abi Chedid
,LineString,-22.970146,-46.5428846,Estádio Olímpio Rodrigues,,pitch,,,,,,,,,,,,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
