Attraction_ID,Attraction_Name,Success,Source,New_Image_URL,Images_Found,Error
"10f391c0-206d-452b-806a-de8608a5c97f","Morro do Luís Barata","false","none","","","No suitable images found in any source"
"3d3bbbb2-0097-4c59-8bcd-67b6ccb520f0","Estátua de Carlos Drummond de Andrade","false","none","","","No suitable images found in any source"
"60d99621-5b7c-47c9-99e9-b976aa248d60","Morro vai quem quer","false","none","","","No suitable images found in any source"
"5c9a7dcb-8f24-4481-9be0-bbd29aa85ff1","Morro do Pica Pau","false","none","","","No suitable images found in any source"
"7472bf99-7042-4f24-97c8-b26a52ecff20","Pedra do Turano","false","none","","","No suitable images found in any source"
"5a516b3e-d9b5-48a9-ab53-6996b1b1b3ae","Morro dos Prazeres","false","none","","","No suitable images found in any source"
"49b35036-e0e5-453d-a57c-818090f902f2","Outeiro da Glória","true","wikidata","https://tysnkzmljlmmqpbotkxv.supabase.co/storage/v1/object/public/travel-app-images/wikidata-49b35036/outeiro-da-glria-fileouteiro-da-glria-1757535671146-1.jpg","1",""
"975318e1-9acc-426a-8217-d12acdc362d3","Morro de Santo Amaro","true","wikidata","https://tysnkzmljlmmqpbotkxv.supabase.co/storage/v1/object/public/travel-app-images/wikidata-975318e1/morro-de-santo-amaro-filevista-2-panorami-1757535670818-1.jpg","1",""
"3728dce7-0958-4e1d-8ea9-55336a640e7b","Morro de Santos Rodrigues","false","none","","","No suitable images found in any source"
"199e69e4-e147-48a5-b7bd-b608248a46dc","Casa dos Inconfidentes","false","none","","","No suitable images found in any source"
"7ed038fc-1307-4538-b41b-4f785ec5689b","Chafariz da Coluna","false","none","","","No suitable images found in any source"
"63286bf4-a113-4997-8c20-98e429a24e34","Morro do Querosene","false","none","","","No suitable images found in any source"
"d687badc-6fec-4820-a808-22c72deedb4a","Morro da Graça","false","none","","","No suitable images found in any source"
"e1799a8e-06f5-47f3-8b57-9736dd4f990d","Morro do Chico","false","none","","","No suitable images found in any source"
"b56f193d-55db-4f2a-807b-d92229e75464","Alto do Sá","false","none","","","No suitable images found in any source"
"75f6ac88-a813-40fa-9301-08c0fb17c45c","Morro Coronel Rios","false","none","","","No suitable images found in any source"
"94a9a828-fcec-4b35-8c52-17a10de333d2","Morro do Batatal","false","none","","","No suitable images found in any source"
"ca180d0a-cf1a-4cec-a011-49b9ee181a90","Morro do Pavão","true","wikidata","https://tysnkzmljlmmqpbotkxv.supabase.co/storage/v1/object/public/travel-app-images/wikidata-ca180d0a/morro-do-pavo-filemorro-do-pavo-ri-1757535681515-1.jpg","1",""
"fb82e93a-c795-4bbb-bc6e-62b4b74d2853","Agulha do Inhangá","false","none","","","No suitable images found in any source"
"ce6e9270-d9b8-4ab7-87d1-4638368cc486","Morro do Martelo","false","none","","","No suitable images found in any source"
"067609f7-d6fe-4532-adc3-7e9c52aedffe","Cachoeira do córrego da Barra","false","none","","","No suitable images found in any source"
"2d3b05a8-cb46-4664-a6e6-2c00376f60fd","Pedra do Sapo","false","none","","","No suitable images found in any source"
"e278fdaf-4779-4f6e-b036-380d3cf64912","Bengalão - portal","false","none","","","No suitable images found in any source"
"661210d7-3eff-415e-87c1-4c218860568f","Morro do Inglês","false","none","","","No suitable images found in any source"
"7b13b96b-752f-41f8-b8ad-48b69b55e810","Morro do Cantagalo","false","none","","","No suitable images found in any source"
"a3c93a1b-1641-415a-94c8-21a4d441cdb6","Monte Viana","false","none","","","No suitable images found in any source"
"f412802f-03c8-4569-bf92-118932a8e464","Morro da Matriz","false","none","","","No suitable images found in any source"
"09c34eb5-bd36-4b60-b7db-e58d789e5a59","Morro da Baronesa de Lages","false","none","","","No suitable images found in any source"
