name,lat,lng,category,religion,denomination,address,city,country,website,description
Igreja Adventista do Sétimo Dia - São Mateus,41.38581,-8.40212,amenity=place_of_worship,christian,seventh_day_adventist,"Rua de Pocinhos, 151, 4765-703 Oliveira (São Mateus)",Oliveira (São Mateus),Portugal,https://www.adventistas.org.pt/saomateus,Igreja Adventista do Sétimo Dia em Oliveira (São Mateus). Horários: Sábado 10:00 | Quarta 20:30
Igreja Adventista do Sétimo Dia - São Roque do Pico,38.52985104,-28.32430317,amenity=place_of_worship,christian,seventh_day_adventist,"Rua do Poço, 34, 9940-361 São Roque do Pico Cais do Pico",Cais do Pico,Portugal,https://www.adventistas.org.pt/saoroquedopico,Igreja Adventista do Sétimo Dia em Cais do Pico. Horários: Sábado 10:00 | Quarta 19:00
Igreja Adventista do Sétimo Dia - Sernancelhe,40.89700356,-7.49569401,amenity=place_of_worship,christian,seventh_day_adventist,"Av. Tílias 34, 3640-240 Sernancelhe Sernancelhe",Sernancelhe,Portugal,https://www.adventistas.org.pt/sernancelhe,Igreja Adventista do Sétimo Dia em Sernancelhe. Horários: Contactar Pastor
Igreja Adventista do Sétimo Dia - Serpins,40.14031,-8.20214,amenity=place_of_worship,christian,seventh_day_adventist,"Cruzamento do Vale Figueira – Lousã, 3200-354 Serpins",Serpins,Portugal,https://www.adventistas.org.pt/serpins,Igreja Adventista do Sétimo Dia em Serpins. Horários: Sábado 09:45 | Quarta 20:30
Igreja Adventista do Sétimo Dia - Sertã,39.80907,-8.09691,amenity=place_of_worship,christian,seventh_day_adventist,"Rua dos Defensores da Pátria, nº 28, 6100-757 Sertã",Sertã,Portugal,https://www.adventistas.org.pt/serta,Igreja Adventista do Sétimo Dia em Sertã. Horários: Sábados 09:30 | Quarta 18:30
Igreja Adventista do Sétimo Dia - Setúbal,38.52661,-8.88801,amenity=place_of_worship,christian,seventh_day_adventist,"Rua Latino Coelho, 8, 2900-105 Setúbal",Setúbal,Portugal,https://www.adventistas.org.pt/setubal,Igreja Adventista do Sétimo Dia em Setúbal. Horários: Sábado 09:45 | Quarta 20:30
Igreja Adventista do Sétimo Dia - Sintra,38.80347,-9.37957,amenity=place_of_worship,christian,seventh_day_adventist,"Av. Gen. José Estevão de Morais Sarmento, 10, 2710-583 Sintra",Sintra,Portugal,https://www.adventistas.org.pt/sintra,Igreja Adventista do Sétimo Dia em Sintra. Horários: Sábado 10:00 | Terça 20:30
Igreja Adventista do Sétimo Dia - Tomar,39.59702,-8.40902,amenity=place_of_worship,christian,seventh_day_adventist,"Avenida Nuno Álvares Pereira, 93 C, 2300-532 Tomar",Tomar,Portugal,https://www.adventistas.org.pt/tomar,Igreja Adventista do Sétimo Dia em Tomar. Horários: Sábado 10:00 | Quarta 20:00 | Domingo 20:00
Igreja Adventista do Sétimo Dia - Torres Vedras,39.09423855,-9.25934664,amenity=place_of_worship,christian,seventh_day_adventist,"Rua Dias Neiva, n°12, Loja A, 2560-319 Torres Vedras",Torres Vedras,Portugal,https://www.adventistas.org.pt/torresvedras,Igreja Adventista do Sétimo Dia em Torres Vedras. Horários: Sábado 10:00 | Quarta 20:00
Igreja Adventista do Sétimo Dia - Touregas,40.186,-8.47077,amenity=place_of_worship,christian,seventh_day_adventist,"Travessa Nossa Senhora da Memória, Espírito Santo das Touregas – Antanhol, 3045-098 Coimbra",Coimbra,Portugal,https://www.adventistas.org.pt/touregas,Igreja Adventista do Sétimo Dia em Coimbra. Horários: Sábado 10:00 | Quinta 20:30
